100
# x y z
0	0	0
0.5	0	0
1	0	0
1.5	0	0
2	0	0
2.5	0	0
3	0	0
3.5	0	0
4	0	0
4.5	0	0
5	0	0
5.5	0	0
6	0	0
6.5	0	0
7	0	0
7.5	0	0
8	0	0
8.5	0	0
9	0	0
9.5	0	0
10	0	0
10.5	0	0
11	0	0
11.5	0	0
12	0	0
12.5	0	0
13	0	0
13.5	0	0
14	0	0
14.5	0	0
15	0	0
15.5	0	0
16	0	0
16.5	0	0
17	0	0
17.5	0	0
18	0	0
18.5	0	0
19	0	0
19.5	0	0
20	0	0
20.5	0	0
21	0	0
21.5	0	0
22	0	0
22.5	0	0
23	0	0
23.5	0	0
24	0	0
24.5	0	0
25	0	0
25.5	0	0
26	0	0
26.5	0	0
27	0	0
27.5	0	0
28	0	0
28.5	0	0
29	0	0
29.5	0	0
30	0	0
30.5	0	0
31	0	0
31.5	0	0
32	0	0
32.5	0	0
33	0	0
33.5	0	0
34	0	0
34.5	0	0
35	0	0
35.5	0	0
36	0	0
36.5	0	0
37	0	0
37.5	0	0
38	0	0
38.5	0	0
39	0	0
39.5	0	0
40	0	0
40.5	0	0
41	0	0
41.5	0	0
42	0	0
42.5	0	0
43	0	0
43.5	0	0
44	0	0
44.5	0	0
45	0	0
45.5	0	0
46	0	0
46.5	0	0
47	0	0
47.5	0	0
48	0	0
48.5	0	0
49	0	0
49.5	0	0
1487
# a b m n u i
1	4	2	3	6.74044000000000e-02	1.00000000000000e-02
2	5	3	4	6.61054000000000e-02	1.00000000000000e-02
3	6	4	5	7.79240000000000e-02	1.00000000000000e-02
4	7	5	6	7.08263000000000e-02	1.00000000000000e-02
5	8	6	7	7.92165000000000e-02	1.00000000000000e-02
6	9	7	8	7.05361000000000e-02	1.00000000000000e-02
7	10	8	9	7.19393000000000e-02	1.00000000000000e-02
8	11	9	10	7.15943000000000e-02	1.00000000000000e-02
9	12	10	11	7.47389000000000e-02	1.00000000000000e-02
10	13	11	12	7.18773000000000e-02	1.00000000000000e-02
11	14	12	13	7.14720000000000e-02	1.00000000000000e-02
12	15	13	14	6.60499000000000e-02	1.00000000000000e-02
13	16	14	15	6.60161000000000e-02	1.00000000000000e-02
14	17	15	16	6.58360000000000e-02	1.00000000000000e-02
15	18	16	17	6.28260000000000e-02	1.00000000000000e-02
16	19	17	18	6.94360000000000e-02	1.00000000000000e-02
17	20	18	19	6.66349000000000e-02	1.00000000000000e-02
18	21	19	20	6.97479000000000e-02	1.00000000000000e-02
19	22	20	21	7.22704000000000e-02	1.00000000000000e-02
20	23	21	22	6.78492000000000e-02	1.00000000000000e-02
